name,description
China Energy Portal,"On the relevance of China's steel sector in its plans for decarbonization.
Need more electric arc furnaces, and use… https://t.co/gGZrQ0zQJR"
China Energy Portal,"RT @JorritGosens: Six month job offer (research assoc / post-doc) at ANU, tracking &amp; analyzing China's near-term policy progress towards ne…"
China Energy Portal,"RT @YanQinyq: Very good read on China national Carbon market by Harvard-Tsinghua #CNETS #OCTT

'China’s CO2 Emissions Trading System: Histo…"
China Energy Portal,"RT @CpStian: Another setback for #China #ETS, trading start delayed past July 1 but unknown for how long. Unsure why, but traders say they’…"
China Energy Portal,"RT @LHongqiao: After a decade of preparation, China’s national emissions trading scheme (ETS) officially enters the operational phase in 20…"
China Energy Portal,"Chinese energy market reforms offer no quick fix for renewables
https://t.co/1h3pdvd8N2"
China Energy Portal,RT @nedopil: is #China's overseas #coal #finance coming to an end? We just analyzed the data from 2014 to 2020 and found: more than USD65 b…
China Energy Portal,RT @CREACleanAir: NEW || A wave of cancellations has hit Chinese overseas coal investments: 4.5 times as much capacity has been shelved/can…
China Energy Portal,"RT @CpStian: Using this new account for the foreseeable future as my regular one was hacked a few weeks ago, and it's proving futile to get…"
China Energy Portal,"China Environment podcast about Concentrating Solar Power, China's remarkable success in this sector, and what this… https://t.co/Q4h3vQwxR1"
China Energy Portal,"And here's a comparison v Q1 2019, which shows that this year's growth is more than a recovery from last year's slu… https://t.co/CODsbGV8cD"
China Energy Portal,@laurimyllyvirta That's a good point actually. Added that now.
China Energy Portal,"@simonahac Here you go:
https://t.co/0Fd0dcvQdV"
China Energy Portal,And quarterly installation stats for PV https://t.co/wU29aHuNrY
China Energy Portal,"Quarterly additions of wind and PV also strong. For wind it's even the strongest 1st quarter ever, although everyth… https://t.co/2AWz0Nd77g"
China Energy Portal,"China Q1 power stats:
Massive jump in power prod, which was predictably met with increased coal-fired power. 
Growt… https://t.co/3my6PeFo2N"
China Energy Portal,"Global coal demand is on course to rise 4.5% in 2021.

China alone is projected to account for over 50% of this glo… https://t.co/pbDRm9Pima"
China Energy Portal,"RT @YanQinyq: 🎉Strong boost for Wind and Solar development in China. 

🇨🇳energy regulator NEA aims to raise Wind &amp; Solar generation's share…"
China Energy Portal,"New analysis by @transition_zer0 assesses China's carbon market to be wildly oversupplied at current rules.

Supply… https://t.co/d1Tw6jGjH4"
China Energy Portal,"Growth in China's power consumption shoots back up, with Jan-Mar cons. up 21.2% on last year over .

Total consumpt… https://t.co/HiuXWy1GLJ"
China Energy Portal,"Tsinghua &amp; the IEA assess that China's carbon market could lead to substantial emission reductions. 
This will howe… https://t.co/I0bbkVB8sm"
China Energy Portal,"RT @JorritGosens: My reading: there is no clear language on an absolute cap but there is movement in the language.
Comparing the implementa…"
China Energy Portal,"This is still a departure from the emissions intensity based quota suggested thus far. That is, for the 10 yr of ta… https://t.co/Ktj5qBCiNE"
China Energy Portal,"This could mean that the total cap is still a ceiling on emissions considered for the year 2030 or before.
Possibly… https://t.co/S1CsNzwBmY"
China Energy Portal,"The language on total cap, roughly:
Enviro dept of State Council shall suggest total emissions and allocation plan,… https://t.co/qHrbq9REbf"
China Energy Portal,"More movement on China's Carbon Market.
Excellent explanation, though note:
- the language on the total cap does no… https://t.co/bE4fNuCCLX"
