Company,Investment (Billion USD),Data Source
Sunseap Group Pte Ltd,8.0,https://www.edb.gov.sg/en/our-industries/sustainability/renewable-energy.html
Sembcorp Industries Ltd,7.0,https://www.sembcorp.com/media/2eungaft/sembcorp_ar2023.pdf
The Blue Circle Pte. Ltd.,3.0,https://www.edb.gov.sg/en/business-insights/market-and-industry-reports/guide-to-renewable-energy-in-southeast-asia.html
Terrenus Energy Pte. Ltd.,2.7,https://terrenus.energy/about-us/
PacificLight Energy Pte. Ltd.,2.0,https://pacificlight.com.sg/img/uploadannualreview/Annual_Review_2018_FA_20190604.pdf
Senoko Energy Pte. Ltd.,1.8,https://www.senokoenergy.com/downloads/Senoko_Energy_Pte_Ltd_and_its_Subsidiaries_2012.pdf
Keppel Corporation Limited,1.5,https://www.keppel.com/annualreport2023/theme/default/pdf/keppel-ltd-ar2023.pdf
Envision Digital International Pte Ltd,1.0,https://www.edb.gov.sg/en/business-insights/market-and-industry-reports/southeast-asia-green-economy-2024-report-moving-the-needle.html
