Region,Sub-region,Country,ISO3 code,M49 code,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2000,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2001,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2002,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2003,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2004,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2005,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2006,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2007,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2008,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2009,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2010,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2011,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2012,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2013,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2014,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2015,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2016,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2017,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2018,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2019,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,All types,2020,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2010,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2011,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2012,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2013,0,0
